中医百科

Asian toddalia root (bark) - 飞龙掌血
six climatic factors - 六气
five zang viscera - 五脏
visceral manifestations - 脏象
zang-fu viscera - 脏腑
seven emotions - 七情
	traditional Chinese medicine - 中医学
Chinese materia medica - 中药学
integration of traditional and western medicine - 中西医结合
traditional Chinese medicine and pharmacology - 中医药学
illness of child viscera affecting the mother one - 子病及母
illness of mother viscera affecting the child one - 母病及子
wood generating fire - 木生火
fire generating earth - 火生土
earth generating metal - 土生金
metal generating water - 金生水
water generating wood - 水生木
mutual restriction of five phases - 五行相克
over-restriction of five phases - 五行相乘
doctrine of five evolutive phases and six climatic factors - 运气学说
five evolutive phases - 五运
vitamins               - 维生素
rorippa               - 田葛菜
rorippa               - 辣米菜
royal jelly              - 乳浆
rust               - 铁锈
rustle               - 簌
rub               - 搽
rub               - 摩
rub               - 擦
S               - 天干
rub               - 磨
S1               - 甲
S10               - 癸
rose               - 徘徊花
rubbing               - 揉法
rubella               - 德国麻疹
rose               - 湖花
S2               - 乙
rose               - 玫
S3               - 丙
S4               - 丁
scar               - 瘢
sargassum               - 海藻
scar               - 瘢痕
scar               - 皮肤瘢痕
salvation               - 济
scarlet fever              - 猩红热
sartorius muscle              - 缝匠肌
sasa               - 簝叶竹根
pancreatitis               - 胰脏炎
patchouli               - 香枝
parrot               - 鹦
pause               - 顿
parsely               - 洋芫荾
pavilion               - 亭
parsely               - 洋香菜
parsely               - 香芹菜
parsnip               - 美国防己
parti-colored               - 驳
package               - 裹
oxygen               - 氧
packet               - 剂
paederia               - 鸡屎藤
paederia               - 鸡矢藤
paederus               - 花蚁虫
palm               - 掌
oyster mushroom              - 平菇
patella               - 膑
patella               - 膝盖
paraplegia               - 截瘫
patella               - 膝膑
pakchoi               - 夏菘
patella               - 膝髌
patella               - 髌
pakchoi               - 小白菜
pakchoi               - 江门白菜
patella               - 髌骨
pakchoi               - 油白菜
path               - 道
pakchoi               - 菘菜
paratyphoid fever              - 副伤寒
pathology               - 病变
pathomechanism               - 病机
overeating               - 进食过饱
oriole               - 莺
ophiorrhiza               - 蛇根草
oversee               - 监
pain               - 疼痛
pain               - 痛楚
paper               - 纸
oyster               - 牡蛎肉
palpate               - 扪
palpate               - 触
papilla               - 乳头
palpation               - 切诊
papule               - 丘疹
oyster               - 蚝
papule               - 胗
papules               - 疹子
arsenic               - 白砒
arsenic               - 砒
aversion to              - 厌
arsenic               - 砒石
assail               - 侵袭
ankle               - 脚腕
ankle               - 脚踝
aloe               - 讷会
ankle               - 足腕
alone               - 独
along               - 沿
along               - 缘
annotate               - 注
apply               - 搽
apply               - 敷
anorexia nervosa              - 精神性食欲缺乏
apply               - 涂
anorexia               - 食欲缺乏
anoxia               - 缺氧症
apply               - 贴
ant               - 蚁
apprehensive               - 怵
antelope               - 羚
appropriate               - 宜
approximate               - 概
approximately               - 许
apricot kernel              - 木落子
apricot               - 杏
anvil               - 砧
arborvitae               - 柏
aromatic               - 芳
armpit               - 腋窝
aromatic               - 芳香
around               - 绕
arrest               - 顿
aubergine               - 茄
all               - 皆
all               - 诸
all over              - 遍
amber               - 虎魄
anger               - 怒气
allergic rhinitis              - 变态反应性鼻炎
ameba               - 阿米巴
allergic purpura              - 过敏性紫癜
angina pectoris              - 心绞痛
ameba               - 阿米巴原虫
amebic dysentery              - 阿米巴痢疾
amenorrhea               - 经闭不行
allergy               - 过敏
alleviate               - 蠲
tachycardia               - 心搏快速
talcum               - 留石
tachycardia               - 心搏过速
talcum               - 番石
taciturn               - 沉默寡言
talcum               - 硬滑石
tarsal bones              - 跗骨
swollen throat              - 嗌肿
talcum               - 脆石
tartar               - 牙垢
talcum               - 脱石
tartar               - 牙石
talent               - 才
Tartar               - 鞑
talk               - 说
tail               - 尾
talking nonsense              - 说糊话
tall               - 乔
supplement               - 加
sword               - 铍
sympathetic nervous system             - 交感神经系统
symphysis               - 联合
SYMPTOM               - 泄气
symptom               - 症状
synapse               - 神经键
take               - 取
swelling               - 肿块
swelling               - 肿胀
take               - 把
tap               - 叩
syphilis               - 梅毒
swelter               - 熏蒸
syrup               - 糖水
syrup               - 糖浆
syrup               - 蜜浆
system               - 系统
supplement               - 补养
supreme               - 至
swan               - 鹄
sweat               - 发汗
sweat gland              - 汗腺
sweet pepper              - 甜椒
sweet orange              - 甜橙
sweating               - 出汗
sweating               - 发汗
swollen nose              - 鼻肿
sweating               - 发汗法
sweating               - 有汗
sweet potato              - 甜薯
sweating               - 汗出
deficient               - 不及
datura               - 曼陀罗
decisive               - 决
deformed               - 畸
deformity               - 畸形
depressor               - 降肌
deprive               - 剥
deprived of              - 失
decoct               - 煎汤
decoct               - 煎熬
depuration               - 清肃
deranged               - 乱
decoction               - 汤液
decoction               - 煎药法
delayed               - 迟
delicate               - 娇
decoctum               - 汤
dermatitis               - 皮肤炎
decoctum               - 煮
dermatosis               - 皮病
decoctum               - 熬
dawn               - 旦
decomposition               - 腐熟
destroy               - 毁
dianella               - 山猫儿
dianthus               - 洛阳花
dendrobium               - 石蓫
daily dosage              - 一日量
dancing               - 娑
dandelion               - 公英
dandelion               - 凫公英
dandelion               - 蒲公英
dampness               - 湿
dandelion               - 黄花地丁
dandruff               - 头皮屑
dangerous               - 危
Daoism               - 道家
Daoist               - 道家
dark eyes              - 两目暗黑
deafness               - 耳聩
dark sleeper              - 土附
dark               - 晦
dark               - 晦暗
dark               - 暗
debilitation               - 衰微
cynomorium               - 锁严子
cynomorium               - 锁阳
cyperus               - 莎草
cuticle               - 表皮
cysticercosis               - 囊虫病
large valley              - 大谷
stick               - 粘
steam               - 熏蒸
steam               - 蒸制
stiff               - 僵
stiff               - 殭
steamer               - 笼屉
stiff neck              - 项强
stifle               - 憋
still               - 还
steaming bone              - 骨蒸
steep               - 洎
sting               - 蜇
steep               - 浸
sting               - 螫
steep               - 浸泡
stingray               - 海鳐渔
steep               - 渍
stellaria               - 银柴
stingy               - 啬
stellaria               - 银柴胡
stinkbug               - 九香虫
stinkbug               - 屁板虫
stinkbug               - 黑兜虫
stir               - 拌
stir               - 触动
knotgrass               - 扁猪牙
knotgrass               - 扁畜
kingfisher               - 翠
lacrimal gland              - 泪腺
koumiss               - 酪
Large Bone              - 大骨
later               - 后
lactation               - 泌乳
kumquat [fruit]              - 金橘
ladle               - 杓
latissimus dorsi muscle             - 背阔肌
Kunlun Mountains              - 昆仑
lagopsis               - 夏至草
laughter               - 笑
labia               - 阴唇
knotgrass               - 扁竹
kingfisher               - 鱼狗
knotgrass               - 扁竹蓼
knotgrass               - 扁蓄
labyrinth               - 迷路
knotgrass               - 编竹
lac               - 洋干漆
knotgrass               - 萹竹
knotgrass               - 萹蓄
centipeda               - 鹅不食草
centaurea               - 苦蒿
centipede               - 千足
centaury               - 埃蕾
cautions               - 注意事项
centipede               - 蜈
centella               - 崩大碗
centipede               - 蜈蚣
centella               - 积雪草
centella               - 落得打
abalone shell              - 九孔决明
cave               - 洞
centella               - 雷公根
cavity               - 腔
abalone shell              - 石决明
celery               - 洋芹菜
abalone               - 鲍
